"nombre","ip","BR_min","canal_id"
"A&E HD","192.168.1.1",0.5,"canal_1"
"A24 HD","192.168.1.2",0.5,"canal_2"
"AMC HD","192.168.1.3",0.5,"canal_3"
"AMERICA HD","192.168.1.4",0.5,"canal_4"
"AMERICA SPORTS","192.168.1.5",0.5,"canal_5"
"ARGENTINISIMA HD","192.168.1.6",0.5,"canal_6"
"AXN HD","192.168.1.7",0.5,"canal_7"
"METRO","192.168.1.8",0.5,"canal_8"
"CANAL A","192.168.1.9",0.5,"canal_9"
"CANAL RURAL","192.168.1.10",0.5,"canal_10"
"CARTOON NETWORK HD","192.168.1.11",0.5,"canal_11"
"CARTOONITO HD","192.168.1.12",0.5,"canal_12"
"CINEMAX HD","192.168.1.13",0.5,"canal_13"
"CNN","192.168.1.14",0.5,"canal_14"
"DISCOVERY KIDS HD","192.168.1.15",0.5,"canal_15"
"DISNEY JR HD","192.168.1.16",0.5,"canal_16"
"EJTV","192.168.1.17",0.5,"canal_17"
"EL DOCE HD","192.168.1.18",0.5,"canal_18"
"EL NUEVE HD","192.168.1.19",0.5,"canal_19"
"EL TRECE HD","192.168.1.20",0.5,"canal_20"
"ENLACE","192.168.1.21",0.5,"canal_21"
"ESPN EXTRA HD","192.168.1.22",0.5,"canal_22"
"E! HD","192.168.1.23",0.5,"canal_23"
"EUROCHANNEL HD","192.168.1.24",0.5,"canal_24"
"EURONEWS HD","192.168.1.25",0.5,"canal_25"
"FILM & ARTS HD","192.168.1.26",0.5,"canal_26"
"FX HD","192.168.1.27",0.5,"canal_27"
"NHK HD","192.168.1.28",0.5,"canal_28"
"TELEFE HD","192.168.1.29",0.5,"canal_29"
"HISTORY 2 HD","192.168.1.30",0.5,"canal_30"
"HISTORY HD","192.168.1.31",0.5,"canal_31"
"HTV HD","192.168.1.32",0.5,"canal_32"
"ID HD","192.168.1.33",0.5,"canal_33"
"MTV HD","192.168.1.34",0.5,"canal_34"
"ISAT","192.168.1.35",0.5,"canal_35"
"LIFETIME HD","192.168.1.36",0.5,"canal_36"
"MAS CHIC HD","192.168.1.37",0.5,"canal_37"
"PARAMOUNT NETWORK","192.168.1.38",0.5,"canal_38"
"QUIERO","192.168.1.39",0.5,"canal_39"
"RAI HD","192.168.1.40",0.5,"canal_40"
"TCM","192.168.1.41",0.5,"canal_41"
"TECNOPOLIS TV","192.168.1.42",0.5,"canal_42"
"TN HD","192.168.1.43",0.5,"canal_43"
"TNT SERIES HD","192.168.1.44",0.5,"canal_44"
"TVE","192.168.1.45",0.5,"canal_45"
"TyC HD","192.168.1.46",0.5,"canal_46"
"VOLVER","192.168.1.47",0.5,"canal_47"
"NATGEO HD","192.168.1.48",0.5,"canal_48"
"NICK HD","192.168.1.49",0.5,"canal_49"
"SONY HD","192.168.1.50",0.5,"canal_50"
"CANAL 10 HD","192.168.1.51",0.5,"canal_51"
"SPACE HD","192.168.1.52",0.5,"canal_52"
"STAR CHANNEL HD","192.168.1.53",0.5,"canal_53"
"TLNOVELAS HD","192.168.1.54",0.5,"canal_54"
"TLC HD","192.168.1.55",0.5,"canal_55"
"TNT HD","192.168.1.56",0.5,"canal_56"
"TURBO HD","192.168.1.57",0.5,"canal_57"
"ZOOMOO TV HD","192.168.1.58",0.5,"canal_58"
"EWTN","192.168.1.59",0.5,"canal_59"
"ESTRELLAS HD","192.168.1.60",0.5,"canal_60"
"EUROPA EUROPA HD","192.168.1.61",0.5,"canal_61"
"GOLDEN HD","192.168.1.62",0.5,"canal_62"
"CRONICA TV","192.168.1.63",0.5,"canal_63"
"MAGAZINE","192.168.1.64",0.5,"canal_64"
"DISNEY HD","192.168.1.65",0.5,"canal_65"
"GOURMET HD","192.168.1.66",0.5,"canal_66"
"FOX SPORTS","192.168.1.67",0.5,"canal_67"
"FOX SPORTS 2","192.168.1.68",0.5,"canal_68"
"FOX SPORTS 3","192.168.1.69",0.5,"canal_69"
"ESPN PREMIUM","192.168.1.70",0.5,"canal_70"
"TNT SPORTS","192.168.1.71",0.5,"canal_71"
"CINECANAL HD","192.168.1.72",0.5,"canal_72"
"NICK JR","192.168.1.73",0.5,"canal_73"
"FOX SPORTS HD","192.168.1.74",0.5,"canal_74"
"ANIMAL PLANET HD","192.168.1.75",0.5,"canal_75"
"DISCOVERY HD","192.168.1.76",0.5,"canal_76"
"HOME&HEALTH HD","192.168.1.77",0.5,"canal_77"
"ESPN1 ","192.168.1.78",0.5,"canal_78"
"ESPN2","192.168.1.79",0.5,"canal_79"
"ESPN3","192.168.1.80",0.5,"canal_80"
"CHACRA TV ","192.168.1.81",0.5,"canal_81"
"WARNER HD","192.168.1.82",0.5,"canal_82"
"C5N HD","192.168.1.83",0.5,"canal_83"
"COMEDY CENTRAL HD","192.168.1.84",0.5,"canal_84"
"TV PUBLICA ","192.168.1.85",0.5,"canal_85"
"CN23","192.168.1.86",0.5,"canal_86"
"ENCUENTRO HD","192.168.1.87",0.5,"canal_87"
"LN+","192.168.1.88",0.5,"canal_88"
"PAKA PA","192.168.1.89",0.5,"canal_89"
"CINE.AR","192.168.1.90",0.5,"canal_90"
"CANAL 2","192.168.1.91",0.5,"canal_91"
"FRANCE ","192.168.1.92",0.5,"canal_92"
"TeleSUR","192.168.1.93",0.5,"canal_93"
"RT","192.168.1.94",0.5,"canal_94"
"DEPORTV HD","192.168.1.95",0.5,"canal_95"
"CONSTRU","192.168.1.96",0.5,"canal_96"
"TELEMUN","192.168.1.97",0.5,"canal_97"
"Adult S","192.168.1.98",0.5,"canal_98"
"TV-203","192.168.1.99",0.5,"canal_99"
"GLITZ S","192.168.1.100",0.5,"canal_100"
"HGLA HD","192.168.1.101",0.5,"canal_101"
"Science","192.168.1.102",0.5,"canal_102"
"Theater","192.168.1.103",0.5,"canal_103"
"HD Worl","192.168.1.104",0.5,"canal_104"
"MTV 00s","192.168.1.105",0.5,"canal_105"
